Carmencita,"Carmencita is a short starring Carmencita. Performing on what looks like a small wooden stage, wearing a dress with a hoop skirt and white high-heeled pumps, Carmencita does a dance with kicks and twirls, a smile always on her face.",https://www.imdb.com/title/tt0000001/,"['Documentary', 'Short']",5.7,1894-03-10
Le clown et ses chiens,Description unavailable,https://www.imdb.com/title/tt0000002/,"['Animation', 'Short']",6.1,1892-10-28
Pauvre Pierrot,Description unavailable,https://www.imdb.com/title/tt0000003/,"['Animation', 'Comedy', 'Short', 'Romance']",6.5,1892-10-28
Un bon bock,Description unavailable,https://www.imdb.com/title/tt0000004/,"['Animation', 'Short']",6.1,1892-10-28
Blacksmith Scene,Blacksmith Scene is a short starring Charles Kayser and John Ott. Three men hammer on an anvil and pass a bottle of beer around.,https://www.imdb.com/title/tt0000005/,"['Short', 'Comedy']",6.1,1893-05-09
Chinese Opium Den,Description unavailable,https://www.imdb.com/title/tt0000006/,Short,5.2,1894-10-17
Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph is a short starring James J. Corbett and Peter Courtney. James J. Corbett and Peter Courtney meet in a boxing exhibition.,https://www.imdb.com/title/tt0000007/,"['Short', 'Sport']",5.4,1894-11-17
Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze is a short starring Fred Ott. A man (Thomas Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Thomas Edison films and was the first motion picture to be...,https://www.imdb.com/title/tt0000008/,"['Documentary', 'Short']",5.4,1894-01-09
Miss Jerry,"Miss Jerry is a short starring Blanche Bayliss, William Courtenay, and Chauncey Depew. The adventures of a female reporter in the 1890s.",https://www.imdb.com/title/tt0000009/,"['Short', 'Romance']",6.0,1894-10-09
La sortie de l'usine Lumière à Lyon,Description unavailable,https://www.imdb.com/title/tt0000010/,"['Documentary', 'Short']",6.9,1895-03-22
Akrobatisches Potpourri,Akrobatisches Potpourri is a short starring Grunato. Eight circus performers known as the Grunato family perform their famous balancing act.,https://www.imdb.com/title/tt0000011/,"['Documentary', 'Short']",5.2,1895-11-01
L'arrivée d'un train à La Ciotat,"L'arrivée d'un train à La Ciotat is a short starring Madeleine Koehler, Marcel Koehler, and Mrs. Auguste Lumiere. A train arrives at La Ciotat station.",https://www.imdb.com/title/tt0000012/,"['Documentary', 'Short']",7.4,1896-01-25
